,DB_target_rank,DB_target_score,UniProtAC,UniProt_entry_name,nmatching_PDB_structures,targetID,target_NCBI_GeneID,target_domain_len,top_PDB_chain_ID,top_cnstrct_auth_score,top_cnstrct_expr_sys,top_cnstrct_expr_tag,top_cnstrct_taxname
217,,,,,0,E2AK3_HUMAN_D0,,,,0,,,
218,,,,,0,EPHA2_HUMAN_D0,,,,0,,,
219,,,,,0,EPHA1_HUMAN_D0,,,,0,,,
220,,,,,0,EPHA6_HUMAN_D0,,,,0,,,
221,,,,,0,EPHAA_HUMAN_D0,,,,0,,,
222,,,,,0,EPHA4_HUMAN_D0,,,,0,,,
223,,,,,0,EPHB6_HUMAN_D0,,,,0,,,
224,,,,,0,ERBB3_HUMAN_D0,,,,0,,,
225,,,,,0,ERN2_HUMAN_D0,,,,0,,,
226,,,,,0,ERN1_HUMAN_D0,,,,0,,,
227,,,,,0,FER_HUMAN_D0,,,,0,,,
228,,,,,0,FGFR4_HUMAN_D0,,,,0,,,
229,,,,,0,FGR_HUMAN_D0,,,,0,,,
230,,,,,0,FLT3_HUMAN_D0,,,,0,,,
231,,,,,0,FRK_HUMAN_D0,,,,0,,,
232,,,,,0,FYN_HUMAN_D0,,,,0,,,
233,,,,,0,GRK5_HUMAN_D0,,,,0,,,
234,,,,,0,GRK4_HUMAN_D0,,,,0,,,
235,,,,,0,GRK6_HUMAN_D0,,,,0,,,
236,,,,,0,GRK7_HUMAN_D0,,,,0,,,
237,,,,,0,GSK3A_HUMAN_D0,,,,0,,,
238,,,,,0,GUC2C_HUMAN_D0,,,,0,,,
239,,,,,0,GUC2D_HUMAN_D0,,,,0,,,
240,,,,,0,GUC2F_HUMAN_D0,,,,0,,,
241,,,,,0,GWL_HUMAN_D0,,,,0,,,
242,,,,,0,HIPK4_HUMAN_D0,,,,0,,,
243,,,,,0,HIPK1_HUMAN_D0,,,,0,,,
244,,,,,0,HIPK3_HUMAN_D0,,,,0,,,
245,,,,,0,HUNK_HUMAN_D0,,,,0,,,
246,,,,,0,ICK_HUMAN_D0,,,,0,,,
247,,,,,0,IKKE_HUMAN_D0,,,,0,,,
248,,,,,0,INSRR_HUMAN_D0,,,,0,,,
249,,,,,0,IRAK4_HUMAN_D0,,,,0,,,
250,,,,,0,IRAK2_HUMAN_D0,,,,0,,,
251,,,,,0,IRAK3_HUMAN_D0,,,,0,,,
252,,,,,0,IRAK1_HUMAN_D0,,,,0,,,
253,,,,,0,KALRN_HUMAN_D0,,,,0,,,
254,,,,,0,KAPCG_HUMAN_D0,,,,0,,,
255,,,,,0,KAPCB_HUMAN_D0,,,,0,,,
256,,,,,0,KC1A_HUMAN_D0,,,,0,,,
257,,,,,0,KC1AL_HUMAN_D0,,,,0,,,
258,,,,,0,KCC1B_HUMAN_D0,,,,0,,,
259,,,,,0,KGP2_HUMAN_D0,,,,0,,,
260,,,,,0,KGP1_HUMAN_D0,,,,0,,,
261,,,,,0,KKCC1_HUMAN_D0,,,,0,,,
262,,,,,0,KKCC2_HUMAN_D0,,,,0,,,
263,,,,,0,KPCD3_HUMAN_D0,,,,0,,,
264,,,,,0,KPCD_HUMAN_D0,,,,0,,,
265,,,,,0,KPCB_HUMAN_D0,,,,0,,,
266,,,,,0,KPCG_HUMAN_D0,,,,0,,,
267,,,,,0,KPCD1_HUMAN_D0,,,,0,,,
268,,,,,0,KPCI_HUMAN_D0,,,,0,,,
269,,,,,0,KPCL_HUMAN_D0,,,,0,,,
270,,,,,0,KPCE_HUMAN_D0,,,,0,,,
271,,,,,0,KPCD2_HUMAN_D0,,,,0,,,
272,,,,,0,KPCA_HUMAN_D0,,,,0,,,
273,,,,,0,KPCZ_HUMAN_D0,,,,0,,,
274,,,,,0,KPSH2_HUMAN_D0,,,,0,,,
275,,,,,0,KPSH1_HUMAN_D0,,,,0,,,
276,,,,,0,KS6B2_HUMAN_D0,,,,0,,,
277,,,,,0,KS6C1_HUMAN_D0,,,,0,,,
278,,,,,0,KS6A1_HUMAN_D0,,,,0,,,
279,,,,,0,KS6A6_HUMAN_D0,,,,0,,,
280,,,,,0,KS6A6_HUMAN_D1,,,,0,,,
281,,,,,0,KS6A2_HUMAN_D0,,,,0,,,
282,,,,,0,KS6A2_HUMAN_D1,,,,0,,,
283,,,,,0,KS6A3_HUMAN_D0,,,,0,,,
284,,,,,0,KS6A4_HUMAN_D0,,,,0,,,
285,,,,,0,KS6A4_HUMAN_D1,,,,0,,,
286,,,,,0,KSR2_HUMAN_D0,,,,0,,,
287,,,,,0,KS6A5_HUMAN_D0,,,,0,,,
288,,,,,0,KS6B1_HUMAN_D0,,,,0,,,
289,,,,,0,KSR1_HUMAN_D0,,,,0,,,
290,,,,,0,LATS2_HUMAN_D0,,,,0,,,
291,,,,,0,LATS1_HUMAN_D0,,,,0,,,
292,,,,,0,LCK_HUMAN_D0,,,,0,,,
293,,,,,0,LIMK2_HUMAN_D0,,,,0,,,
294,,,,,0,LIMK1_HUMAN_D0,,,,0,,,
295,,,,,0,LMTK1_HUMAN_D0,,,,0,,,
296,,,,,0,LMTK3_HUMAN_D0,,,,0,,,
297,,,,,0,LMTK2_HUMAN_D0,,,,0,,,
298,,,,,0,LRRK1_HUMAN_D0,,,,0,,,
299,,,,,0,LRRK2_HUMAN_D0,,,,0,,,
300,,,,,0,LTK_HUMAN_D0,,,,0,,,
301,,,,,0,LYN_HUMAN_D0,,,,0,,,
302,,,,,0,M3K12_HUMAN_D0,,,,0,,,
303,,,,,0,M3K13_HUMAN_D0,,,,0,,,
304,,,,,0,M3K19_HUMAN_D0,,,,0,,,
305,,,,,0,M3K14_HUMAN_D0,,,,0,,,
306,,,,,0,M3K15_HUMAN_D0,,,,0,,,
307,,,,,0,M3K3_HUMAN_D0,,,,0,,,
308,,,,,0,M3K11_HUMAN_D0,,,,0,,,
309,,,,,0,M3K6_HUMAN_D0,,,,0,,,
310,,,,,0,M3K4_HUMAN_D0,,,,0,,,
311,,,,,0,M3K10_HUMAN_D0,,,,0,,,
312,,,,,0,M3K8_HUMAN_D0,,,,0,,,
313,,,,,0,M3K2_HUMAN_D0,,,,0,,,
314,,,,,0,M3K1_HUMAN_D0,,,,0,,,
315,,,,,0,M3KL4_HUMAN_D0,,,,0,,,
316,,,,,0,M4K1_HUMAN_D0,,,,0,,,
317,,,,,0,M4K4_HUMAN_D0,,,,0,,,
318,,,,,0,M4K2_HUMAN_D0,,,,0,,,
319,,,,,0,M4K5_HUMAN_D0,,,,0,,,
320,,,,,0,M4K3_HUMAN_D0,,,,0,,,
321,,,,,0,MAK_HUMAN_D0,,,,0,,,
322,,,,,0,MAPK5_HUMAN_D0,,,,0,,,
323,,,,,0,MARK4_HUMAN_D0,,,,0,,,
324,,,,,0,MAST3_HUMAN_D0,,,,0,,,
325,,,,,0,MAST2_HUMAN_D0,,,,0,,,
326,,,,,0,MAST1_HUMAN_D0,,,,0,,,
327,,,,,0,MAST4_HUMAN_D0,,,,0,,,
328,,,,,0,MATK_HUMAN_D0,,,,0,,,
329,,,,,0,MINK1_HUMAN_D0,,,,0,,,
330,,,,,0,MK04_HUMAN_D0,,,,0,,,
331,,,,,0,MK15_HUMAN_D0,,,,0,,,
332,,,,,0,MLTK_HUMAN_D0,,,,0,,,
333,,,,,0,MOK_HUMAN_D0,,,,0,,,
334,,,,,0,MOS_HUMAN_D0,,,,0,,,
335,,,,,0,MP2K5_HUMAN_D0,,,,0,,,
336,,,,,0,MP2K3_HUMAN_D0,,,,0,,,
337,,,,,0,MP2K7_HUMAN_D0,,,,0,,,
338,,,,,0,MP2K1_HUMAN_D0,,,,0,,,
339,,,,,0,MRCKA_HUMAN_D0,,,,0,,,
340,,,,,0,MRCKG_HUMAN_D0,,,,0,,,
341,,,,,0,MUSK_HUMAN_D0,,,,0,,,
342,,,,,0,MYLK3_HUMAN_D0,,,,0,,,
343,,,,,0,MYLK4_HUMAN_D0,,,,0,,,
344,,,,,0,MYLK2_HUMAN_D0,,,,0,,,
345,,,,,0,MYLK_HUMAN_D0,,,,0,,,
346,,,,,0,MYO3B_HUMAN_D0,,,,0,,,
347,,,,,0,MYO3A_HUMAN_D0,,,,0,,,
348,,,,,0,NEK11_HUMAN_D0,,,,0,,,
349,,,,,0,NEK10_HUMAN_D0,,,,0,,,
350,,,,,0,NEK3_HUMAN_D0,,,,0,,,
351,,,,,0,NEK4_HUMAN_D0,,,,0,,,
352,,,,,0,NEK5_HUMAN_D0,,,,0,,,
353,,,,,0,NEK6_HUMAN_D0,,,,0,,,
354,,,,,0,NEK8_HUMAN_D0,,,,0,,,
355,,,,,0,NEK9_HUMAN_D0,,,,0,,,
356,,,,,0,NIM1_HUMAN_D0,,,,0,,,
357,,,,,0,NLK_HUMAN_D0,,,,0,,,
358,,,,,0,NRBP_HUMAN_D0,,,,0,,,
359,,,,,0,NRBP2_HUMAN_D0,,,,0,,,
360,,,,,0,NRK_HUMAN_D0,,,,0,,,
361,,,,,0,NTKL_HUMAN_D0,,,,0,,,
362,,,,,0,NTRK2_HUMAN_D0,,,,0,,,
363,,,,,0,NTRK3_HUMAN_D0,,,,0,,,
364,,,,,0,NUAK2_HUMAN_D0,,,,0,,,
365,,,,,0,NUAK1_HUMAN_D0,,,,0,,,
366,,,,,0,OBSCN_HUMAN_D0,,,,0,,,
367,,,,,0,OBSCN_HUMAN_D1,,,,0,,,
368,,,,,0,PACE1_HUMAN_D0,,,,0,,,
369,,,,,0,PAK2_HUMAN_D0,,,,0,,,
370,,,,,0,PAK3_HUMAN_D0,,,,0,,,
371,,,,,0,PAN3_HUMAN_D0,,,,0,,,
372,,,,,0,PASK_HUMAN_D0,,,,0,,,
373,,,,,0,PDK1L_HUMAN_D0,,,,0,,,
374,,,,,0,PDPK2_HUMAN_D0,,,,0,,,
375,,,,,0,PEAK1_HUMAN_D0,,,,0,,,
376,,,,,0,PGFRB_HUMAN_D0,,,,0,,,
377,,,,,0,PGFRA_HUMAN_D0,,,,0,,,
378,,,,,0,PI3R4_HUMAN_D0,,,,0,,,
379,,,,,0,PIM3_HUMAN_D0,,,,0,,,
380,,,,,0,PINK1_HUMAN_D0,,,,0,,,
381,,,,,0,PKDCC_HUMAN_D0,,,,0,,,
382,,,,,0,PKN3_HUMAN_D0,,,,0,,,
383,,,,,0,PKN2_HUMAN_D0,,,,0,,,
384,,,,,0,PKN1_HUMAN_D0,,,,0,,,
385,,,,,0,PLK3_HUMAN_D0,,,,0,,,
386,,,,,0,PRKY_HUMAN_D0,,,,0,,,
387,,,,,0,PRKX_HUMAN_D0,,,,0,,,
388,,,,,0,PRP4B_HUMAN_D0,,,,0,,,
389,,,,,0,PRPK_HUMAN_D0,,,,0,,,
390,,,,,0,PTK6_HUMAN_D0,,,,0,,,
391,,,,,0,PXK_HUMAN_D0,,,,0,,,
392,,,,,0,RAF1_HUMAN_D0,,,,0,,,
393,,,,,0,RET_HUMAN_D0,,,,0,,,
394,,,,,0,RIOK2_HUMAN_D0,,,,0,,,
395,,,,,0,RIOK3_HUMAN_D0,,,,0,,,
396,,,,,0,RIOK1_HUMAN_D0,,,,0,,,
397,,,,,0,RIPK4_HUMAN_D0,,,,0,,,
398,,,,,0,RIPK3_HUMAN_D0,,,,0,,,
399,,,,,0,RIPK1_HUMAN_D0,,,,0,,,
400,,,,,0,RIPK2_HUMAN_D0,,,,0,,,
401,,,,,0,RK_HUMAN_D0,,,,0,,,
402,,,,,0,RN5A_HUMAN_D0,,,,0,,,
403,,,,,0,ROCK2_HUMAN_D0,,,,0,,,
404,,,,,0,ROCK1_HUMAN_D0,,,,0,,,
405,,,,,0,ROR1_HUMAN_D0,,,,0,,,
406,,,,,0,RON_HUMAN_D0,,,,0,,,
407,,,,,0,ROS1_HUMAN_D0,,,,0,,,
408,,,,,0,ROR2_HUMAN_D0,,,,0,,,
409,,,,,0,RPKL1_HUMAN_D0,,,,0,,,
410,,,,,0,RYK_HUMAN_D0,,,,0,,,
411,,,,,0,SBK1_HUMAN_D0,,,,0,,,
412,,,,,0,SBK3_HUMAN_D0,,,,0,,,
413,,,,,0,SBK2_HUMAN_D0,,,,0,,,
414,,,,,0,SCYL2_HUMAN_D0,,,,0,,,
415,,,,,0,SG223_HUMAN_D0,,,,0,,,
416,,,,,0,SG494_HUMAN_D0,,,,0,,,
417,,,,,0,SGK1_HUMAN_D0,,,,0,,,
418,,,,,0,SGK3_HUMAN_D0,,,,0,,,
419,,,,,0,SGK71_HUMAN_D0,,,,0,,,
420,,,,,0,SGK2_HUMAN_D0,,,,0,,,
421,,,,,0,SIK2_HUMAN_D0,,,,0,,,
422,,,,,0,SIK1_HUMAN_D0,,,,0,,,
423,,,,,0,SIK3_HUMAN_D0,,,,0,,,
424,,,,,0,SNRK_HUMAN_D0,,,,0,,,
425,,,,,0,SPEG_HUMAN_D0,,,,0,,,
426,,,,,0,SPEG_HUMAN_D1,,,,0,,,
427,,,,,0,SRMS_HUMAN_D0,,,,0,,,
428,,,,,0,SRPK3_HUMAN_D0,,,,0,,,
429,,,,,0,SRPK1_HUMAN_D0,,,,0,,,
430,,,,,0,SRPK2_HUMAN_D0,,,,0,,,
431,,,,,0,ST17A_HUMAN_D0,,,,0,,,
432,,,,,0,ST32A_HUMAN_D0,,,,0,,,
433,,,,,0,ST32B_HUMAN_D0,,,,0,,,
434,,,,,0,ST32C_HUMAN_D0,,,,0,,,
435,,,,,0,ST38L_HUMAN_D0,,,,0,,,
436,,,,,0,STK38_HUMAN_D0,,,,0,,,
437,,,,,0,STK33_HUMAN_D0,,,,0,,,
438,,,,,0,STK39_HUMAN_D0,,,,0,,,
439,,,,,0,STK35_HUMAN_D0,,,,0,,,
440,,,,,0,STK11_HUMAN_D0,,,,0,,,
441,,,,,0,STK40_HUMAN_D0,,,,0,,,
442,,,,,0,STK36_HUMAN_D0,,,,0,,,
443,,,,,0,STK31_HUMAN_D0,,,,0,,,
444,,,,,0,STRAB_HUMAN_D0,,,,0,,,
445,,,,,0,STYK1_HUMAN_D0,,,,0,,,
446,,,,,0,TAF1_HUMAN_D0,,,,0,,,
447,,,,,0,TAF1_HUMAN_D1,,,,0,,,
448,,,,,0,TAOK2_HUMAN_D0,,,,0,,,
449,,,,,0,TAOK1_HUMAN_D0,,,,0,,,
450,,,,,0,TAOK3_HUMAN_D0,,,,0,,,
451,,,,,0,TBCK_HUMAN_D0,,,,0,,,
452,,,,,0,TBK1_HUMAN_D0,,,,0,,,
453,,,,,0,TEC_HUMAN_D0,,,,0,,,
454,,,,,0,TESK1_HUMAN_D0,,,,0,,,
455,,,,,0,TESK2_HUMAN_D0,,,,0,,,
456,,,,,0,TEX14_HUMAN_D0,,,,0,,,
457,,,,,0,TGFR2_HUMAN_D0,,,,0,,,
458,,,,,0,TIE1_HUMAN_D0,,,,0,,,
459,,,,,0,TITIN_HUMAN_D0,,,,0,,,
460,,,,,0,TLK1_HUMAN_D0,,,,0,,,
461,,,,,0,TLK2_HUMAN_D0,,,,0,,,
462,,,,,0,TNI3K_HUMAN_D0,,,,0,,,
463,,,,,0,TNIK_HUMAN_D0,,,,0,,,
464,,,,,0,TNK1_HUMAN_D0,,,,0,,,
465,,,,,0,TOPK_HUMAN_D0,,,,0,,,
466,,,,,0,TRIB1_HUMAN_D0,,,,0,,,
467,,,,,0,TRIB3_HUMAN_D0,,,,0,,,
468,,,,,0,TRIB2_HUMAN_D0,,,,0,,,
469,,,,,0,TRIO_HUMAN_D0,,,,0,,,
470,,,,,0,TSSK1_HUMAN_D0,,,,0,,,
471,,,,,0,TSSK3_HUMAN_D0,,,,0,,,
472,,,,,0,TSSK2_HUMAN_D0,,,,0,,,
473,,,,,0,TSSK4_HUMAN_D0,,,,0,,,
474,,,,,0,TSSK6_HUMAN_D0,,,,0,,,
475,,,,,0,TTBK1_HUMAN_D0,,,,0,,,
476,,,,,0,TTBK2_HUMAN_D0,,,,0,,,
477,,,,,0,TXK_HUMAN_D0,,,,0,,,
478,,,,,0,TYK2_HUMAN_D0,,,,0,,,
479,,,,,0,TYK2_HUMAN_D1,,,,0,,,
480,,,,,0,TYRO3_HUMAN_D0,,,,0,,,
481,,,,,0,UFO_HUMAN_D0,,,,0,,,
482,,,,,0,UHMK1_HUMAN_D0,,,,0,,,
483,,,,,0,ULK3_HUMAN_D0,,,,0,,,
484,,,,,0,ULK4_HUMAN_D0,,,,0,,,
485,,,,,0,ULK1_HUMAN_D0,,,,0,,,
486,,,,,0,ULK2_HUMAN_D0,,,,0,,,
487,,,,,0,VGFR3_HUMAN_D0,,,,0,,,
488,,,,,0,WEE1_HUMAN_D0,,,,0,,,
489,,,,,0,WEE2_HUMAN_D0,,,,0,,,
490,,,,,0,WNK1_HUMAN_D0,,,,0,,,
491,,,,,0,WNK2_HUMAN_D0,,,,0,,,
492,,,,,0,WNK3_HUMAN_D0,,,,0,,,
493,,,,,0,WNK4_HUMAN_D0,,,,0,,,
494,,,,,0,YES_HUMAN_D0,,,,0,,,
495,,,,,0,ZAP70_HUMAN_D0,,,,0,,,
496,52,45.7,Q08881,ITK_HUMAN,5,ITK_HUMAN_D0,3702.0,253.0,1SNU_A,-10,ESCHERICHIA COLI,,Human
497,207,31.8,Q16816,PHKG1_HUMAN,3,PHKG1_HUMAN_D0,5260.0,269.0,2PHK_A,-10,ESCHERICHIA COLI BL21(DE3),,Rabbit
